,root,strategy,strategy_signal
1140,272.6381298813415,392.3428706705535,392.3428706705535
1141,268.3164717002533,386.12374138895603,386.12374138895603
1142,275.33881920634775,396.2293270624875,396.2293270624875
1143,291.84316777001425,419.98008964596977,419.98008964596977
1144,289.21730752652337,416.2013168589085,416.2013168589085
1145,312.7685531313535,450.0929933917832,450.0929933917832
1146,313.951543416544,451.7953884480764,451.7953884480764
1147,322.01264449154536,463.3958037601533,463.3958037601533
1148,303.3621681395022,436.55663260489865,436.55663260489865
1149,273.2377025423767,393.2056922396001,393.2056922396001
1150,278.1675464894131,400.3000378726922,400.3000378726922
1151,263.55283444523036,379.2685773065061,379.2685773065061
1152,259.33269722661885,373.1955428718351,373.1955428718351
1153,258.4859240824471,371.97698475476005,371.97698475476005
1154,252.60594973228348,363.5153436152156,363.5153436152156
1155,277.75291511661055,399.70335807905434,399.70335807905434
1156,270.74488635091706,389.61837794487184,389.61837794487184
1157,282.82878835506466,407.0078487546677,407.0078487546677
1158,271.76442438881253,391.0855552641992,391.0855552641992
1159,273.81344707053086,394.03422367446274,394.03422367446274
1160,273.72993930208537,393.91405091062575,393.91405091062575
1161,286.56965219268176,412.3911796096627,412.3911796096627
1162,292.3888975950073,420.76542809529633,420.76542809529633
1163,306.8139683063982,441.52398323575306,441.52398323575306
1164,313.4424520784397,451.06277501241254,451.06277501241254
1165,323.4966562352422,465.53138702535637,465.53138702535637
1166,320.8494162541755,461.72184749404573,461.72184749404573
1167,342.73664933903126,493.2189086838552,493.2189086838552
1168,331.87545846176664,477.58899364027184,477.58899364027184
1169,312.8752550731814,450.24654398348196,450.24654398348196
1170,317.8990999113998,457.47616262298743,457.47616262298743
1171,329.4610783627631,474.11455365880204,474.11455365880204
1172,323.79774327576564,465.96466961078244,465.96466961078244
1173,326.5272449669529,469.89258875212414,469.89258875212414
1174,326.34252228544386,469.62676156510247,469.62676156510247
1175,321.920173847429,463.26273287244913,463.26273287244913
1176,305.16320335387877,439.14843194894064,439.14843194894064
1177,306.3373182060879,440.8380547167213,440.8380547167213
1178,295.3423181532592,425.01558012145034,425.01558012145034
1179,289.35365254008224,416.3975256358856,416.3975256358856
1180,308.56671329551403,444.04629000510505,444.04629000510505
1181,313.2463618472994,450.7805892292666,450.7805892292666
1182,313.1189578487391,450.59724711731843,450.59724711731843
1183,323.1892951817491,465.08907575322337,465.08907575322337
1184,329.7229692177309,474.49143054643747,474.49143054643747
1185,329.72935253406234,474.5006165273381,474.5006165273381
1186,330.7197721563637,475.92589067351594,475.92589067351594
1187,332.33433583544183,478.24934612344003,478.24934612344003
1188,322.3705036982083,463.9107849496853,463.9107849496853
1189,328.8323872861339,473.20982891660606,473.20982891660606
1190,330.50750502767113,475.6204253497313,475.6204253497313
1191,325.663770269092,468.6499960822816,468.6499960822816
1192,313.6684695700516,451.38802794574,451.38802794574
1193,326.4002125998228,469.70978144043374,469.70978144043374
1194,325.9583865505946,469.0739668514521,469.0739668514521
1195,334.62279846160607,481.5425831939933,481.5425831939933
1196,336.92697891120287,484.8584391695725,484.8584391695725
1197,335.18365587187765,482.34969115970074,482.34969115970074
1198,355.386436708095,511.42272299225965,511.42272299225965
1199,353.1828153513907,508.2515776747041,508.2515776747041
1200,354.3262378195952,509.89703223294885,509.89703223294885
1201,344.58177752957386,495.8741605055565,495.8741605055565
1202,339.6068131547701,488.714883829386,488.714883829386
1203,314.6044342574845,452.73493812471423,452.73493812471423
1204,311.8514979255189,448.7732951082853,448.7732951082853
1205,316.041839047693,454.8034511458072,454.8034511458072
1206,301.6763823898494,434.13068425848746,434.13068425848746
1207,289.6788737628998,416.8655387792371,416.8655387792371
1208,285.93704805569854,411.48082373533936,411.48082373533936
1209,280.10127598506284,403.08279236764787,403.08279236764787
1210,274.2440804555066,394.6539313380297,394.6539313380297
1211,302.32367689866373,435.0621804724179,435.0621804724179
1212,307.9836017207718,443.2071569416002,443.2071569416002
1213,306.8172474072533,441.52870206155836,441.52870206155836
1214,299.7121791169186,431.30407614238305,431.30407614238305
1215,323.18916401771486,465.0888870001912,465.0888870001912
1216,323.62497838204195,465.7160504085302,465.7160504085302
1217,316.9263218516994,456.07627575964125,456.07627575964125
1218,320.11183716848166,460.6604262762814,460.6604262762814
1219,298.47219805886505,429.51966789359705,429.51966789359705
1220,321.36381973566534,462.46210542751425,462.46210542751425
1221,315.6136321973501,454.1872354133364,454.1872354133364
1222,320.9854770789936,461.9176473061197,461.9176473061197
1223,329.0854682901375,473.5740278922453,473.5740278922453
1224,325.88738308674374,468.9717885433522,468.9717885433522
1225,312.6099758139967,449.8647909758481,449.8647909758481
